Report Mai 2026 - alle Benutzer, gruppiert nach Tagen
Repos: ImagingTools/Acf, ImagingTools/AcfSln, ImagingTools/ImtCore, ImagingTools/Agentino

2026-05-01 (1 Commits)
- [ImagingTools/ImtCore] ff12962 | kucherenkord-cyber | Merge pull request #439 from ImagingTools/JQ-update

2026-05-04 (29 Commits)
- [ImagingTools/Acf] 0a3f5b1 | lmoragmg | Add CCurrentPageStackedWidget and use it
- [ImagingTools/Acf] 0adf453 | lmoragmg | Add spacing above dialog buttons
- [ImagingTools/Acf] 1c0e873 | oleksiigmg | fix TDeviceBasedSerializerComp interface registration
- [ImagingTools/Acf] 8a1765c | lmoragmg | Fix issue with stackwidget container sizing follows the active page content (#202)
- [ImagingTools/ImtCore] 0450d2d | lmoragmg | Add VAO support and HiDPI viewport fixes
- [ImagingTools/ImtCore] 05e156b | Copilot | Add client request tenant manager and info provider for remote tenant CRUD operations
- [ImagingTools/ImtCore] 0b5da6c | Copilot | Add tenant management infrastructure: ITenantInfo, ITenantManager, ITenantInfoProvider, CTenantInfo, SDL schema, and GraphQL controller
- [ImagingTools/ImtCore] 1147058 | Copilot | Add TODO comment for remote tenant forwarding limitation
- [ImagingTools/ImtCore] 13363c6 | Copilot | Rename to ICollectionFilterFiller pattern, register component in Pck CPP
- [ImagingTools/ImtCore] 138dfe2 | Copilot | Add Tenant management files: SDL, DB, GQL handler, and QML view
- [ImagingTools/ImtCore] 163ce60 | Copilot | Simplify Tenants.sdl: remove TenantItem query, rename TenantsList to GetTenantList, update all references
- [ImagingTools/ImtCore] 1c4e956 | kucherenkord-cyber | Merge branch 'main' into copilot/add-additional-filters-to-filterparams
- [ImagingTools/ImtCore] 295610f | lmoragmg | Enable antialiasing and macOS-safe line draw
- [ImagingTools/ImtCore] 2e3b69d | lmoragmg | Support thick screen-space lines in vshader
- [ImagingTools/ImtCore] 4e0a21d | Copilot | Fix TenantEditor tab navigation to include all three fields
- [ImagingTools/ImtCore] 5351c45 | Copilot | Update collection controller to use createdAt/updatedAt from tenant model instead of collection metadata
- [ImagingTools/ImtCore] 5dea27f | Copilot | Rename CUserGroupFilterFillerComp → CUserGroupParamsSetJoinerComp to match IParamsSetJoiner interface naming
- [ImagingTools/ImtCore] 6cf7872 | Copilot | Integrate TenantCollectionView into AdministrationView with TenantEditor
- [ImagingTools/ImtCore] 79c8bf6 | Copilot | Add SingleDocumentCollectionView and GqlSingleDocCollectionPageView components
- [ImagingTools/ImtCore] 7f9c9a4 | lmoragmg | Merge pull request #441 from ImagingTools/measure-uistyles-fixes
- [ImagingTools/ImtCore] 9bcdbaf | kucherenkord-cyber | Build fixed
- [ImagingTools/ImtCore] b668e50 | lmoragmg | Merge pull request #443 from ImagingTools/3dGraph-MacSupport
- [ImagingTools/ImtCore] bee9e16 | Copilot | Rename to generic ICollectionFilterProvider, add CUserGroupFilterProviderComp
- [ImagingTools/ImtCore] bfb723d | Copilot | Revert changes to Include/imtcore/Version.h - this file must not be modified
- [ImagingTools/ImtCore] c34f109 | kucherenkord-cyber | Merge pull request #440 from ImagingTools/copilot/add-additional-filters-to-filterparams
- [ImagingTools/ImtCore] c4b33cb | Copilot | Add multi-tenant architecture: tenantId in sessions, JWT, GraphQL context, and operation context
- [ImagingTools/ImtCore] de5f7a4 | Copilot | Rename ICollectionFilterFiller -> IParamsSetJoiner with method JoinParamsSet
- [ImagingTools/ImtCore] e973ac8 | Copilot | Fix I_MULTIREF usage: use I_ASSIGN_MULTI_0 inside component block, I_MULTIREF as member
- [ImagingTools/ImtCore] fc76613 | lmoragmg | dark mode improvements

2026-05-05 (34 Commits)
- [ImagingTools/ImtCore] 019324c | Copilot | Add CCollectionDocumentManagerSubscriberComp and CCollectionDocumentManagerNotificationProxyComp for proxying tenant document manager notifications from Puma to ProLife
- [ImagingTools/ImtCore] 0a4e2ae | ShcherbinaVA | Merge branch 'main' into csocket_thread_affinity_destruction
- [ImagingTools/ImtCore] 1ba2c0c | kucherenkord-cyber | Merge branch 'main' into copilot/propose-multi-tenant-architecture
- [ImagingTools/ImtCore] 1d955b6 | Copilot | Add CTenantManagerComp implementing ITenantManager with IObjectCollection
- [ImagingTools/ImtCore] 2090a7d | Copilot | Fix Bool to Boolean in Tenants.sdl for consistency with ImtDesk.sdl
- [ImagingTools/ImtCore] 396bbd1 | Copilot | Simplify CPublisherSubscriberBridgeComp: inherit IGqlSubscriptionClient directly instead of inner class
- [ImagingTools/ImtCore] 3b22e91 | Copilot | Add Organization.svg icon and ACC files for Tenant entity
- [ImagingTools/ImtCore] 3ba0967 | Copilot | Refactor CRemoteTenantControllerComp following CRemoteJwtSessionControllerComp pattern
- [ImagingTools/ImtCore] 3bd81e6 | kucherenkord-cyber | Build fixed
- [ImagingTools/ImtCore] 425e57e | kucherenkord-cyber | Build fixed
- [ImagingTools/ImtCore] 437f2f5 | kucherenkord-cyber | Partitura corrected
- [ImagingTools/ImtCore] 535ae15 | Copilot | Add SQLite partitura for TenantRepository
- [ImagingTools/ImtCore] 5831188 | Copilot | Revert WebCompiler.cmake, remove ITenantInfoProvider, add CRemoteTenantControllerComp, fix CTenantCollectionDocumentManagerComp, simplify CTenantCollectionControllerComp
- [ImagingTools/ImtCore] 597f9fe | Copilot | Add CTenantManagerControllerComp - server-side controller with I_REF ITenantManager
- [ImagingTools/ImtCore] 5cbb146 | kucherenkord-cyber | Build fixed
- [ImagingTools/ImtCore] 628472f | Copilot | Add CPublisherSubscriberBridgeComp — single component combining CGqlPublisherCompBase + private IGqlSubscriptionClient inner class
- [ImagingTools/ImtCore] 7956578 | Copilot | Fix CTenantManagerControllerComp.cpp following CGqlJwtSessionControllerComp pattern
- [ImagingTools/ImtCore] 7d7cc45 | Copilot | Add CRemoteCollectionDocumentManagerControllerComp with multi attr CollectionIds and IsRequestSupported
- [ImagingTools/ImtCore] 8b60c64 | kucherenkord-cyber | QML corrected
- [ImagingTools/ImtCore] 968fafc | kucherenkord-cyber | Delegate corrected
- [ImagingTools/ImtCore] a46b097 | Copilot | Fix double-wrapping in CPublisherSubscriberBridgeComp: extract inner payload before re-publishing
- [ImagingTools/ImtCore] a9a1463 | ShcherbinaVA | Merge pull request #445 from ImagingTools/csocket_thread_affinity_destruction
- [ImagingTools/ImtCore] b016df0 | Copilot | Register all tenant components in Pck files (ImtAuthPck, ImtAuthGqlPck, ImtAuthDbPck)
- [ImagingTools/ImtCore] b3abe7b | kucherenkord-cyber | Partitura corrected
- [ImagingTools/ImtCore] b6e70af | Copilot | Add TenantRelationshipRole enum and relationship methods to ITenantInfo
- [ImagingTools/ImtCore] cbb72be | VekhterAleksandr | QML. TableHeaderDelegate corrected
- [ImagingTools/ImtCore] d84b604 | Copilot | Refactor: move auto-table-creation logic to CSqlDatabaseObjectDelegateCompBase
- [ImagingTools/ImtCore] db5c6b5 | kucherenkord-cyber | Build fixed
- [ImagingTools/ImtCore] deabc23 | Copilot | Add updatedAt to TenantItemData and Tenant Relationships with roles enum
- [ImagingTools/ImtCore] e7f24aa | kucherenkord-cyber | Partitura corrected
- [ImagingTools/ImtCore] ef41e85 | kucherenkord-cyber | Merge branch 'copilot/propose-multi-tenant-architecture' of https://github.com/ImagingTools/ImtCore into copilot/propose-multi-tenant-architecture
- [ImagingTools/ImtCore] f05009a | kucherenkord-cyber | Build fixed
- [ImagingTools/ImtCore] f465192 | Copilot | Revert CRemoteTenantControllerComp to SDL handler pattern, add GetTenantIds to SDL, fix argument passing
- [ImagingTools/ImtCore] f68c1e6 | kucherenkord-cyber | Cleanup

2026-05-06 (54 Commits)
- [ImagingTools/ImtCore] 0160bfc | Copilot | Add TenantMemberships.sdl to CMakeLists.txt (was missing from build configuration)
- [ImagingTools/ImtCore] 0a20a40 | Copilot | Add tenant owner and invitation workflow
- [ImagingTools/ImtCore] 0a5f8da | Copilot | Fix TenantEditor to resolve member IDs to display names using FilterableSelectGqlDataProvider
- [ImagingTools/ImtCore] 0d3eab9 | Copilot | Add inline documentation comments to TeamMemberRole enum values
- [ImagingTools/ImtCore] 0d8b813 | kucherenkord-cyber | Cosmetics
